Time_minutes Average_cpu_utilization Powerdraw_kJ cpu_demand cpu_usage cpu_idle_time
8560 0.06488585233108873 185.4151592285782 59798.80150833138 59798.80150833138 27999
8565 0.06481076263079864 185.4128826637864 59729.59884054403 59729.59884054403 27999
8570 0.06575066271439597 185.6845970412791 60595.81075758733 60595.81075758733 27933
8575 0.06460709946804614 185.4026537321657 59541.90286975132 59541.90286975132 28002
8580 0.0655258146348655 185.60688992142678 60388.590767492045 60388.590767492045 27951
8585 0.06370516111231847 185.12489174704254 58710.67648111271 58710.67648111271 28070
8590 0.06291092828538562 184.78727012538909 57978.711507811386 57978.711507811386 28154
8595 0.06272554489272135 184.68729450413585 57807.862173131994 57807.862173131994 28177
8600 0.0634934034369285 184.9021623776257 58515.520607473314 58515.520607473314 28125
8605 0.06550625590164931 185.53729663462937 60370.56543896 60370.56543896 27969
8610 0.09228345041819082 196.25636172415315 85048.42790540466 85048.42790540466 26005
8615 0.1111111111111111 205.38249214966595 102936.20615499283 102400.0 24265
8620 0.1111111111111111 206.76 120946.71180060401 102400.0 24000
8625 0.1111111111111111 206.76 123963.5741558052 102400.0 24000
8630 0.1111111111111111 206.6371271995008 123605.92237683064 102400.0 24029
8635 0.1111111111111111 206.76 119405.28258137341 102400.0 24000
8640 0.1111111111111111 206.76 116196.39648991925 102400.0 24000
8645 0.1111111111111111 206.76 114446.0888096807 102400.0 24000
8650 0.1111111111111111 206.76 114216.17936426733 102400.0 24000
8655 0.1111111111111111 206.76 115408.3722619007 102400.0 24000
8660 0.1111111111111111 206.76 115378.35389716724 102400.0 24000
8665 0.1111111111111111 206.76 113988.43141894335 102400.0 24000
8670 0.1111111111111111 206.76 113274.01297691674 102400.0 24000
8675 0.1111111111111111 206.76 116021.75519873126 102400.0 24000
8680 0.1111111111111111 206.76 115149.42605854938 102400.0 24000
8685 0.1111111111111111 206.76 111534.68405349729 102400.0 24000
8690 0.1111111111111111 206.76 113879.76480211601 102400.0 24000
8695 0.1111111111111111 206.76 112983.82373820936 102400.0 24000
8700 0.1111111111111111 206.76 110604.93599463342 102400.0 24000
8705 0.1111111111111111 206.76 109183.38813243272 102400.0 24000
